i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
35,-219.122965902,-2.60860673693,5.0399999999999805,-15.9283883479,-14.3685871691,7.22466884714,1.26753139675,2.31201635405,0.0,-3.02401843801,-13.0578847597,-31.5613224306,0.432592652168,-28.6542590633,0.0,900.035212803,100.579236568,900.052038419,899.667868878
36,-220.015055528,-2.61922685153,5.0399999999999805,-16.7380411995,-8.81160867252,0.0,0.645957198756,2.32391349004,0.0,-3.99092134714,-8.06891192277,-41.3060404643,0.13066420134,-28.6549016711,0.0,900.223700069,100.437306543,900.241444777,900.086419395
37,-219.807954821,-2.61676136692,5.0399999999999805,-16.3453349497,-13.3044072475,3.18985078025,0.808704827053,2.30357504736,0.0,-3.5769566603,-11.0581772682,-37.8480247939,0.155152925472,-28.6745951289,0.0,900.806168188,99.7736684935,900.025288858,899.655561389
38,-175.345551602,-2.50493645146,4.199999999999998,-12.4109787561,-23.4447837235,0.0,4.96564496322,1.22809148717,0.0,-3.48647439005,-55.4851681958,-179.895181581,-0.506267186499,-28.648681,0.0,899.682029984,99.4898874417,900.503457377,899.609278281
39,-210.742157248,-2.5700263079,4.919999999999983,-15.8663762546,-5.3059891554,0.0,5.75027685788,5.7225014355,0.0,-5.08254552608,-11.5983350289,-52.3793152581,-0.158464950696,-28.644675803,0.0,899.567196253,98.9318004273,900.065748521,899.837456662
40,-218.84111354,-2.60525135166,5.0399999999999805,-15.114485642,-11.8073969173,22.7157207146,2.16506546886,2.28632035991,0.0,-2.45840440302,-3.80887429248,-22.0489897024,0.643322917911,-28.6690039904,0.0,900.201466108,99.5633946722,900.474397069,900.417231379
41,-200.119901515,-2.56563976301,4.679999999999988,-15.0998816229,-20.0856251054,0.0,5.95740719798,0.0861958072456,0.0,-4.75130728933,-32.1216516859,-58.7599482301,0.121538134031,-28.662023159,0.0,900.168290141,99.0097311927,900.366674045,899.444664012
42,-218.857620729,-2.60544786582,5.0399999999999805,-15.9020522651,-10.7521702609,3.87543403413,1.21604125516,2.28537668001,0.0,-3.12435904097,-12.1650863026,-33.1430803369,0.465807478439,-28.674522943,0.0,900.657638426,100.027914445,899.773722356,899.861696801
43,-213.206157671,-2.56874888761,4.979999999999982,-15.798274784,-1.05427343212,0.0,0.362197091454,4.01808239535,0.0,-4.88231601152,-2.60246006855,-45.6991871739,0.198653285159,-28.6419434638,0.0,899.677735434,100.062655132,899.714136342,900.233905071
44,-181.549943046,-2.52152698674,4.319999999999996,-13.1793414311,-21.2030885077,0.0,5.15896115568,4.11296683902,0.0,-3.22248116502,-54.3164849295,-128.263871603,-0.2530049598,-28.6572666212,0.0,900.060712166,100.048950732,900.025968396,900.220036114
